name,location,city,state,ownership,rating,nirf_rank,courses_count,exams_accepted,tuition_fees,image_url,description
IIT Madras,"Chennai, Tamil Nadu",Chennai,Tamil Nadu,Public,4.3,# 1 NIRF,6 Courses,"CAT, JEE Advanced, IIT JAM",₹6 K-8 L,https://media.getmyuni.com/azure/college-image/small/indian-institute-of-technology-iit-chennai.jpg,"IIT Madras is a Public College, located in Chennai, Tamil Nadu. IIT Madras offers 6 courses at the Bachelors, Masters, Doctorate Levels such as BTech, MA, MBA, MSc, MTech, PhD in multiple disciplines."
IISc Bangalore,"Bangalore, Karnataka",Bangalore,Karnataka,Public,4.1,# 2 NIRF,7 Courses,"CAT, JEE Advanced, IIT JAM",₹8 L,https://media.getmyuni.com/azure/college-image/small/indian-institute-of-science-iis-bangalore.webp,"IISc Bangalore is a Public University, located in Bangalore, Karnataka. IISc Bangalore offers 7 courses at the Masters, Bachelors, Doctorate Levels such as MMS, ME, BSc, BTech, MSc, MTech, PhD in multiple disciplines."
IIT Bombay,"Mumbai, Maharashtra",Mumbai,Maharashtra,Public,4.3,# 3 NIRF,14 Courses,"JEE Advanced, CEED, IIT JAM",₹20 K-36 L,https://media.getmyuni.com/azure/college-image/small/indian-institute-of-technology-iit-bombay.webp,"IIT Bombay is a Public University, located in Mumbai, Maharashtra. IIT Bombay offers 14 courses at the Masters, Bachelors, Doctorate, Postgraduate Diploma Levels such as Executive MBA, M.Des, BDes, BSc, BTech, MA, MBA, M.Phil, MSc, MTech, PhD, PGD, MUD, MPP in multiple disciplines."
IIT Delhi,"Delhi, Delhi NCR",Delhi,Delhi NCR,Public,4.0,N/A,8 Courses,"CAT, JEE Advanced",₹30 K-13.14 L,https://media.getmyuni.com/azure/college-image/small/indian-institute-of-technology-iit-delhi.webp,"IIT Delhi is a Public Institutes, located in Delhi NCR. IIT Delhi offers 8 courses at the Masters, Bachelors, Doctorate, Postgraduate Diploma Levels such as M.Des, BTech, MBA, MSc, MTech, PhD, PGD, MPP in multiple disciplines."
IIT Kanpur,"Kanpur, Uttar Pradesh",Kanpur,Uttar Pradesh,Public,4.4,# 5 NIRF,7 Courses,"JEE Main, CAT, CEED, IIT JAM",₹12 K-10 L,https://media.getmyuni.com/azure/college-image/small/indian-institute-of-technology-iit-kanpur.jpg,"IIT Kanpur is a Public University, located in Kanpur, Uttar Pradesh. IIT Kanpur offers 7 courses at the Masters, Bachelors, Doctorate Levels such as M.Des, BSc, BTech, MBA, MSc, MTech, PhD in multiple disciplines."
IIT Kharagpur,"Kharagpur, West Bengal",Kharagpur,West Bengal,Public,4.2,# 6 NIRF,15 Courses,"CAT, JEE Advanced, IIT JAM",₹12 K-9 L,https://media.getmyuni.com/azure/college-image/small/indian-institute-of-technology-iit-kharagpur.jpg,"IIT Kharagpur is a Public College, located in Kharagpur, West Bengal. IIT Kharagpur offers 15 courses at the Bachelors, Masters, Doctorate, Postgraduate Diploma Levels such as B.Arch, LLB, LLM, MPT, BSc, BTech Hons, MBA, MSc, MTech, MHRM, PhD, PGD, Post Doctoral, MMST, MCP in multiple disciplines."
IIT Roorkee,"Roorkee, Uttarakhand",Roorkee,Uttarakhand,Public,4.1,# 8 NIRF,11 Courses,"CAT, JEE Advanced, IIT JAM",₹12 K-8 L,,"IIT Roorkee is a Public University, located in Roorkee, Uttarakhand. IIT Roorkee offers 11 courses at the Bachelors, Masters, Doctorate, Postgraduate Diploma Levels such as B.Arch, M.Arch, M.Des, BSc, BTech, MBA, MSc, MTech, PhD, PGD, MURP in multiple disciplines."
IIT Guwahati,"Guwahati, Assam",Guwahati,Assam,Public,4.1,# 9 NIRF,8 Courses,"JEE Advanced, CEED, IIT JAM, UCEED",₹20 K-11.20 L,,"IIT Guwahati is a Public College, located in Guwahati, Assam. IIT Guwahati offers 8 courses at the Masters, Bachelors, Doctorate Levels such as M.Des, BDes, BTech, MA, MBA, MSc, MTech, PhD in multiple disciplines."
JNU,"Delhi, Delhi NCR",Delhi,Delhi NCR,Public,3.8,# 10 NIRF,11 Courses,"JEE Main, CAT",₹432 -12 L,,"JNU is a Public University, located in Delhi NCR. JNU offers 11 courses at the Masters, Bachelors, Doctorate, Diploma Levels such as MCA, MPH, BA Hons, BTech, MA, MBA, M.Phil, MSc, MTech, PhD, Advance Diploma in multiple disciplines."
BHU,"Varanasi, Uttar Pradesh",Varanasi,Uttar Pradesh,Public,4.0,# 11 NIRF,48 Courses,"CUET PG, NEET MDS, CUET, CAT, BHU PET, BHU UET, NEET PG, NEET SS, NEET, BLAT",₹500 -1.20 L,,"BHU is a Public University, located in Varanasi, Uttar Pradesh. BHU offers 48 courses at the Bachelors, Masters, Doctorate, Postgraduate Diploma Levels such as BAMS, BDS, BFA, LLB, B.Pharmacy, B.P.Ed, B.V.Sc, B.Voc, MCA, M.Ed, MFA, LLM, M.Lib.I.Sc, MPA, M.P.Ed, MBBS, BA Hons, BCom Hons, B.Ed, BSc Hons, BTech, MD, MA, MBA, Master of Chirurgiae [M.Ch], M.Com, MDS, M.Pharm, M.Phil, MSc, M.S, MTech, BNYS, D.Litt, MFM, PhD, PGD, Bachelor of Music, Bachelor of Performing Arts, DM, MFT, MTTM, D.Sc, LLD, MMus, Master of Musicology, MPM, Post Doctoral in multiple disciplines."
